,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,MONEY,Year
174,Roger Tambellini,77,71.969,292.0,62.57,69.73,-.789,-.151,-.925,219,1,,"370,736",2010
175,Garth Mulroy,53,72.000,295.6,60.70,70.07,-.586,.147,-.436,160,1,,"287,118",2010
176,Brent Delahoussaye,57,72.032,275.6,67.28,66.78,.231,-1.046,-.811,43,,,"69,708",2010
177,Steve Flesch,78,72.041,277.4,66.02,62.76,-.078,-.570,-.651,272,1,,"440,374",2010
178,David Lutterus,69,72.170,291.9,56.61,64.29,-.330,-.707,-1.044,103,,,"123,170",2010
179,Daniel Chopra,74,72.194,295.9,51.27,61.64,.361,-1.461,-1.096,142,,,"311,405",2010
180,Steve Lowery,67,72.202,286.2,61.90,65.52,-.386,-.794,-1.177,67,,,"118,602",2010
181,Andrew McLardy,52,72.217,289.9,61.43,65.97,-.172,-.832,-1.005,23,,,"53,106",2010
182,Mark Calcavecchia,50,72.222,281.0,62.18,65.48,-.871,-.126,-.996,88,,,"119,980",2010
183,Craig Bowden,56,72.229,270.0,72.86,62.64,-.404,-.698,-1.104,79,,,"140,935",2010
184,Vance Veazey,58,72.323,284.3,55.88,62.71,-.109,-1.329,-1.444,73,,,"111,370",2010
185,Jeff Gove,57,72.401,288.7,62.96,69.72,-.947,-.212,-1.164,77,,,"92,155",2010
186,Jerod Turner,54,72.602,279.0,61.66,58.94,-.002,-1.883,-1.885,57,,,"91,343",2010
187,Chris Wilson,65,72.682,291.7,59.93,63.28,-.668,-.962,-1.631,58,,,"76,481",2010
188,Kevin Johnson,62,72.878,276.5,63.85,62.50,-.350,-1.795,-2.147,53,,,"69,806",2010
189,Justin Bolli,55,72.881,281.8,66.28,64.85,-.558,-1.361,-1.918,6,,,"73,990",2010
190,Greg Kraft,52,73.070,273.2,62.50,60.63,-.182,-1.856,-2.041,14,,,"52,176",2010
191,Brad Faxon,58,73.116,271.4,59.47,59.05,.426,-2.519,-2.093,39,,,"55,482",2010
0,Luke Donald,73,68.861,284.1,64.29,67.33,.870,1.408,2.278,"2,567",14,2,"$6,683,214",2011
1,Webb Simpson,98,69.252,296.2,61.93,69.84,.271,1.492,1.764,"2,745",12,2,"$6,347,353",2011
2,Steve Stricker,70,69.362,288.8,62.47,66.02,.780,.950,1.730,740,5,2,"$3,992,785",2011
3,Matt Kuchar,94,69.515,286.2,64.75,66.98,.379,1.161,1.540,"1,853",9,,"$4,233,920",2011
4,Nick Watney,80,69.518,301.9,58.15,66.88,.546,1.165,1.712,"1,420",10,2,"$5,290,673",2011
5,Sergio Garcia,61,69.564,299.2,58.00,66.85,-.119,1.103,.984,"1,317",3,,"$1,524,091",2011
6,Charl Schwartzel,58,69.619,297.0,61.73,65.97,.052,.898,.950,"1,560",3,1,"$2,604,558",2011
7,Charles Howell III,108,69.660,297.3,57.51,68.91,.380,.860,1.239,708,7,,"$2,509,223",2011
8,Jason Day,76,69.706,302.6,54.70,64.92,.576,.400,.976,"1,058",10,,"$3,962,647",2011
9,David Toms,78,69.706,279.1,71.82,70.20,.446,.836,1.282,648,7,1,"$3,858,090",2011
10,Spencer Levin,113,69.851,286.3,63.53,67.99,.040,.806,.846,"1,287",6,,"$2,320,038",2011
11,Freddie Jacobson,92,69.854,287.4,60.82,63.56,.629,.275,.904,488,3,1,"$2,488,325",2011
12,Brandt Snedeker,85,69.859,287.2,64.02,64.90,.588,.507,1.094,"1,668",7,1,"$3,587,206",2011
13,Adam Scott,60,69.872,299.7,63.98,68.08,-.247,.882,.635,778,7,1,"$3,764,797",2011
14,Gary Woodland,93,69.875,310.5,58.07,69.41,-.116,1.157,1.041,773,6,1,"$3,448,591",2011
15,Phil Mickelson,79,69.891,299.8,53.20,66.96,-.190,1.373,1.182,795,7,1,"$3,763,488",2011
16,Hunter Mahan,92,69.905,291.6,62.85,68.79,.527,.691,1.218,"1,800",9,,"$3,503,540",2011
17,Zach Johnson,79,69.966,278.2,71.06,66.38,.580,.453,1.033,"1,414",4,,"$1,880,406",2011
18,K.J. Choi,77,69.993,285.6,61.99,65.93,.163,.915,1.079,"1,207",8,1,"$4,434,691",2011
19,Rickie Fowler,84,70.007,299.5,56.70,64.47,.351,.566,.917,"1,323",4,,"$2,084,681",2011
20,Bo Van Pelt,92,70.092,297.4,63.59,68.02,-.167,1.034,.867,610,5,,"$2,344,546",2011
21,Bill Haas,93,70.135,296.6,63.59,69.44,.165,.752,.916,"2,760",7,1,"$4,088,637",2011
22,Geoff Ogilvy,69,70.164,290.0,62.89,62.63,.517,.205,.722,608,4,,"$1,916,994",2011
23,John Senden,94,70.199,293.3,66.82,70.86,.302,.665,.967,"1,030",3,,"$2,294,811",2011
24,Jason Dufner,78,70.200,286.8,65.81,66.95,-.116,.833,.717,583,6,,"$3,057,860",2011
25,Robert Karlsson,61,70.211,299.2,56.78,63.37,.066,.612,.678,"1,297",3,,"$1,779,815",2011
26,Brian Gay,90,70.214,269.8,72.77,63.44,.556,.181,.737,685,3,,"$1,157,525",2011
27,Aaron Baddeley,77,70.230,296.2,55.67,65.48,.324,.824,1.148,"1,007",5,1,"$3,094,693",2011
28,Jerry Kelly,85,70.241,275.6,73.30,66.25,.257,.410,.667,"1,450",4,,"$1,451,797",2011
29,Keegan Bradley,91,70.257,300.7,61.50,65.90,.007,.272,.279,648,4,2,"$3,758,600",2011
30,Chad Campbell,99,70.273,291.1,63.31,71.13,-.368,.932,.564,"1,076",1,,"$1,104,024",2011
31,Y.E. Yang,63,70.277,290.2,62.23,62.52,.267,.003,.270,440,5,,"$2,314,865",2011
32,Robert Allenby,84,70.284,290.2,62.91,67.54,-.173,.991,.818,"1,146",3,,"$1,452,567",2011
