,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,MONEY,Year
13,Jordan Spieth,102,69.946,289.7,58.79,62.47,.399,.581,.980,698,8,,"$4,342,748",2014
14,Ryan Palmer,85,69.993,300.4,58.55,66.67,.295,.971,1.265,730,8,,"$2,924,300",2014
15,Kevin Na,94,69.996,280.3,64.32,64.72,.315,.638,.954,528,6,,"$3,153,107",2014
16,Keegan Bradley,89,70.031,302.2,62.36,66.67,.254,.740,.994,"1,621",6,,"$2,828,638",2014
17,Brendon Todd,108,70.049,280.3,64.85,63.99,.664,.129,.793,508,7,1,"$3,396,747",2014
18,Brooks Koepka,56,70.052,307.0,56.91,64.98,.162,.797,.958,,2,,,2014
19,Hideki Matsuyama,82,70.083,294.8,61.52,64.03,-.393,1.545,1.152,475,4,1,"$2,837,477",2014
20,Harris English,95,70.094,299.2,59.95,68.36,-.028,.706,.677,"1,662",7,1,"$2,947,322",2014
21,Russell Knox,92,70.111,285.7,67.60,68.00,-.116,.938,.822,"1,480",3,,"$1,513,630",2014
22,Bill Haas,107,70.132,291.9,62.94,68.62,.147,.943,1.090,655,5,,"$2,841,521",2014
23,Charles Howell III,106,70.134,304.1,52.77,67.66,.037,.717,.755,"1,592",6,,"$1,997,044",2014
24,Chris Kirk,105,70.150,291.0,62.78,63.46,.374,.489,.862,"3,100",5,2,"$4,854,777",2014
25,Paul Casey,56,70.152,293.0,60.49,65.77,.283,.725,1.008,699,,,"$877,968",2014
26,Marc Leishman,81,70.152,297.6,57.97,65.21,-.017,.766,.749,"1,240",6,,"$2,558,657",2014
27,Zach Johnson,97,70.159,282.2,70.51,67.42,.106,.751,.857,650,5,1,"$3,353,417",2014
28,Henrik Stenson,56,70.166,293.2,68.78,69.03,-.170,1.162,.992,"1,315",3,,"$1,894,235",2014
29,Rickie Fowler,91,70.172,297.5,59.93,64.51,.290,.480,.769,"1,225",10,,"$4,806,117",2014
30,Webb Simpson,87,70.234,288.5,62.24,65.28,.300,.580,.880,525,9,1,"$3,539,601",2014
31,George McNeill,79,70.248,286.1,62.22,66.17,.271,.528,.799,"1,352",4,,"$2,014,357",2014
32,Gary Woodland,93,70.249,304.1,59.49,66.55,-.149,1.049,.900,595,5,,"$2,734,153",2014
33,John Senden,99,70.270,288.9,64.25,67.85,.476,.328,.805,585,5,1,"$2,856,685",2014
34,Phil Mickelson,71,70.278,292.4,58.01,65.26,.234,.634,.868,"1,046",1,,"$2,158,019",2014
35,Jason Kokrak,65,70.307,303.4,55.64,65.38,.222,.686,.908,932,2,,"$1,200,381",2014
36,Ryan Moore,86,70.344,284.7,69.92,67.99,.042,.794,.836,"1,534",7,1,"$3,098,263",2014
37,Jerry Kelly,80,70.349,277.5,66.49,65.56,.239,.288,.527,"1,175",4,,"$1,451,059",2014
38,David Toms,64,70.350,275.1,75.49,68.73,.055,.405,.460,502,2,,"$801,355",2014
39,Brian Harman,111,70.391,289.0,60.96,64.26,.113,.403,.515,"1,571",6,1,"$2,414,334",2014
40,Charley Hoffman,93,70.464,299.2,58.69,67.08,.266,.691,.956,"1,291",5,,"$1,977,296",2014
41,Kevin Chappell,100,70.466,296.2,64.90,67.59,-.278,.970,.692,"1,268",1,,"$1,343,412",2014
42,Martin Kaymer,65,70.468,294.9,61.27,64.58,-.111,.355,.244,655,4,2,"$4,532,537",2014
43,Chris Stroud,88,70.476,285.8,63.93,65.21,.182,.236,.418,"1,344",4,,"$1,826,399",2014
44,Robert Streb,75,70.502,300.0,59.62,65.65,.119,.319,.438,966,2,,"$1,300,075",2014
45,Carl Pettersson,91,70.520,295.5,58.79,66.67,-.138,.397,.259,"1,173",4,,"$1,348,393",2014
46,Billy Horschel,92,70.521,291.6,67.04,70.43,.220,.518,.738,"4,750",5,2,"$4,814,787",2014
47,Brian Stuard,91,70.549,283.4,66.14,63.86,.283,.042,.326,"1,315",4,,"$1,852,531",2014
48,Daniel Summerhays,98,70.566,282.2,66.30,66.89,.492,.184,.675,"1,242",2,,"$1,509,543",2014
49,Hunter Mahan,88,70.574,295.8,65.10,66.67,.207,.314,.520,"1,835",6,1,"$3,097,983",2014
50,Chad Campbell,57,70.590,287.8,65.36,72.43,-.434,.709,.275,317,1,,"$470,798",2014
51,Patrick Reed,92,70.598,292.3,55.59,63.64,.249,.081,.331,598,4,2,"$4,026,076",2014
52,Stuart Appleby,92,70.599,278.6,60.42,62.96,.487,-.126,.361,"1,755",3,,"$1,477,971",2014
53,Freddie Jacobson,91,70.604,284.6,59.35,62.58,.704,-.293,.411,"1,068",4,,"$1,901,789",2014
54,Shawn Stefani,60,70.609,297.7,64.17,66.20,-.146,.564,.418,842,2,,"$1,369,259",2014
55,Kevin Stadler,90,70.620,291.6,64.28,68.91,-.467,.878,.411,"1,537",3,1,"$2,300,307",2014
56,Cameron Tringale,111,70.630,282.9,63.87,66.77,.107,.560,.668,600,3,,"$2,169,723",2014
57,Luke Guthrie,85,70.638,287.6,58.99,63.53,.190,.109,.299,580,2,,"$840,555",2014
58,Seung-Yul Noh,92,70.661,296.5,55.02,66.97,-.121,.427,.306,"1,590",3,1,"$2,115,234",2014
59,Scott Langley,95,70.662,281.3,61.08,64.16,.268,.016,.284,898,1,,"$1,151,496",2014
60,Ricky Barnes,92,70.671,290.7,54.85,64.96,.157,.145,.302,530,2,,"$706,855",2014
61,Brandt Snedeker,89,70.671,285.6,63.70,63.28,.326,.318,.644,812,3,,"$1,652,380",2014
62,Ãngel Cabrera,69,70.675,303.7,58.40,64.98,.007,.198,.205,"1,332",1,1,"$1,868,559",2014
63,Will MacKenzie,82,70.685,290.6,64.50,65.58,.154,.070,.224,"1,092",5,,"$1,853,822",2014
64,Billy Hurley III,86,70.696,276.7,70.44,65.89,.039,.270,.309,685,4,,"$1,145,299",2014
65,William McGirt,96,70.712,278.5,65.94,64.41,.314,-.235,.079,"1,182",4,,"$1,275,738",2014
66,Andrew Svoboda,77,70.713,287.4,66.14,68.11,-.026,.370,.344,702,2,,"$1,168,073",2014
67,Tim Wilkinson,86,70.714,282.4,59.51,61.72,.205,-.078,.127,498,3,,"$824,179",2014
68,Camilo Villegas,95,70.716,292.5,59.95,66.96,.000,.316,.315,"1,342",1,1,"$1,642,124",2014
69,Kevin Kisner,85,70.718,287.8,61.43,65.29,.388,.009,.397,587,3,,"$954,497",2014
70,J.B. Holmes,86,70.721,308.0,54.71,60.92,-.075,.476,.401,"1,467",2,1,"$2,365,204",2014
71,Matt Every,85,70.722,286.3,56.72,63.33,.733,-.236,.497,"1,354",6,1,"$2,540,370",2014
72,Ian Poulter,57,70.722,288.1,61.35,62.40,.067,-.106,-.038,892,2,,"$1,616,693",2014
73,Robert Garrigus,80,70.728,306.1,57.18,65.14,.047,.382,.429,678,2,,"$1,095,474",2014
74,Retief Goosen,94,70.728,288.8,55.90,63.64,.352,-.024,.329,591,2,,"$826,073",2014
75,Ben Martin,80,70.732,291.7,64.34,66.04,.291,.130,.421,899,3,,"$1,482,836",2014
76,Jeff Overton,80,70.734,287.5,57.36,65.79,.017,.044,.061,719,3,,"$1,115,467",2014
77,Luke Donald,57,70.735,278.1,62.56,63.00,.517,.173,.690,798,3,,"$1,451,440",2014
78,Ernie Els,85,70.736,291.2,53.26,61.60,-.171,.654,.483,"1,467",3,,"$1,799,569",2014
79,Heath Slocum,71,70.737,277.8,72.41,67.31,-.078,.327,.249,419,1,,"$566,167",2014
80,Tim Clark,75,70.738,272.2,74.02,64.30,.025,.061,.086,"1,271",3,1,"$2,066,344",2014
81,Lee Westwood,57,70.738,292.3,61.22,63.69,.151,.495,.646,577,2,,"$1,223,104",2014
82,Nick Watney,80,70.756,295.8,63.97,67.33,-.075,.687,.613,584,2,,"$913,398",2014
83,Aaron Baddeley,74,70.796,293.8,52.29,59.80,.872,-.828,.044,528,2,,"$942,559",2014
84,Brendan Steele,89,70.798,298.9,59.51,66.47,.121,.398,.519,881,4,,"$1,359,890",2014
85,Brendon de Jonge,109,70.801,287.9,67.87,64.48,-.032,.256,.224,762,2,,"$1,171,395",2014
86,Danny Lee,84,70.802,284.2,65.05,64.44,.141,-.123,.018,800,1,,"$781,295",2014
87,Willy Wilcox,51,70.819,297.3,61.40,66.89,-.204,.552,.349,362,2,,"$586,159",2014
88,Bo Van Pelt,83,70.827,291.3,62.83,68.61,-.053,.431,.378,866,1,,"$982,218",2014
89,Erik Compton,88,70.829,283.3,58.48,63.07,.282,-.259,.023,"1,117",3,,"$1,796,143",2014
90,David Hearn,97,70.830,279.1,67.48,66.38,.315,.136,.451,930,3,,"$1,138,324",2014
91,Justin Hicks,103,70.836,285.1,73.46,71.44,.069,-.003,.066,923,3,,"$1,544,061",2014
92,Stewart Cink,91,70.847,293.7,59.45,66.36,-.131,.243,.113,866,,,"$929,166",2014
93,Louis Oosthuizen,50,70.852,300.5,60.90,66.43,-.429,.212,-.217,453,1,,"$946,134",2014
94,Andres Romero,81,70.852,294.6,54.79,60.53,.353,-.207,.145,655,1,,"$782,184",2014
95,K.J. Choi,80,70.870,279.8,64.22,62.08,.332,-.039,.293,"1,019",2,,"$1,677,848",2014
96,Brad Fritsch,50,70.888,294.4,60.24,65.05,-.050,.110,.060,322,3,,"$568,391",2014
97,Jason Bohn,81,70.892,280.0,64.95,64.75,.126,-.253,-.127,"1,011",3,,"$1,585,189",2014
98,Justin Leonard,75,70.895,270.3,65.04,57.78,.496,-.677,-.181,491,2,,"$807,949",2014
99,Morgan Hoffmann,103,70.899,295.4,54.09,62.74,.506,-.472,.034,518,2,,"$1,595,922",2014
100,Jason Dufner,57,70.900,285.3,63.76,66.26,-.576,1.098,.522,798,4,,"$1,651,491",2014
101,Troy Merritt,62,70.900,285.2,61.43,65.05,.024,-.123,-.099,609,1,,"$882,864",2014
102,Michael Putnam,106,70.905,293.0,61.08,67.05,-.409,.517,.108,708,1,,"$818,799",2014
103,Robert Allenby,83,70.920,284.9,61.47,67.63,-.163,.269,.105,438,,,"$514,288",2014
104,Vijay Singh,83,70.933,289.7,60.66,65.39,-.579,.554,-.025,800,1,,"$989,028",2014
105,Scott Brown,100,70.936,287.2,66.55,65.00,.211,.134,.345,821,4,,"$1,441,725",2014
106,Ben Crane,81,70.954,279.0,66.40,63.44,.138,-.290,-.152,"1,199",2,1,"$1,534,634",2014
107,Ryo Ishikawa,75,70.980,291.0,53.26,64.96,.092,.231,.323,936,3,,"$1,380,579",2014
108,Matt Jones,83,71.021,296.3,58.50,63.25,.142,-.029,.113,"1,051",1,1,"$1,928,154",2014
109,Jhonattan Vegas,77,71.022,304.8,61.16,69.11,-.370,.314,-.056,528,2,,"$751,763",2014
110,Brice Garnett,92,71.039,289.3,58.91,65.15,.109,-.255,-.147,488,1,,"$617,805",2014
111,Bud Cauley,56,71.060,293.4,57.54,67.46,-.389,.284,-.105,357,1,,"$647,886",2014
112,J.J. Henry,91,71.064,290.7,64.39,69.60,-.187,-.032,-.219,425,,,"$554,615",2014
113,Charlie Wi,72,71.067,281.0,57.74,60.87,.112,-.221,-.108,329,,,"$384,796",2014
114,Tyrone Van Aswegen,79,71.070,290.0,53.54,64.17,.017,-.263,-.247,355,,,"$454,856",2014
115,Jonathan Byrd,76,71.083,288.1,61.58,64.89,-.271,-.027,-.298,383,1,,"$617,014",2014
116,Spencer Levin,59,71.086,280.1,64.92,64.31,-.094,-.230,-.324,246,,,"$277,780",2014
117,"Ted Potter, Jr.",68,71.087,278.4,69.56,65.11,-.216,.125,-.090,311,,,"$386,341",2014
118,Pat Perez,84,71.110,286.4,60.05,64.35,.251,-.255,-.004,682,3,,"$1,315,080",2014
119,Bryce Molder,77,71.112,278.7,59.49,63.93,.249,-.482,-.233,565,2,,"$828,605",2014
120,Ken Duke,80,71.137,275.5,70.18,67.17,-.409,.230,-.178,305,,,"$455,589",2014
121,Andrew Loupe,65,71.142,308.0,50.00,63.11,.350,-.485,-.136,380,1,,"$563,121",2014
122,Steven Bowditch,93,71.145,298.1,55.13,63.38,-.581,.399,-.182,"1,213",1,1,"$1,734,693",2014
123,Hudson Swafford,75,71.167,297.5,64.28,68.78,-.200,-.116,-.316,351,1,,"$513,883",2014
124,Sangmoon Bae,76,71.168,288.5,61.39,62.94,.418,-.202,.216,466,,,"$718,111",2014
125,James Hahn,82,71.186,289.6,60.83,63.96,-.306,.070,-.236,456,2,,"$735,259",2014
126,Michael Thompson,74,71.194,289.2,62.22,65.69,.466,-.317,.149,515,1,,"$932,300",2014
127,Martin Flores,85,71.199,296.0,56.71,66.54,-.144,.362,.218,534,1,,"$1,035,447",2014
128,Wes Roach,67,71.206,293.0,61.05,64.20,.000,-.554,-.554,314,1,,"$453,616",2014
129,Chesson Hadley,84,71.212,290.6,57.01,63.03,.041,-.180,-.140,"1,338",4,1,"$1,703,316",2014
130,Brian Davis,93,71.232,278.2,67.23,61.47,.145,-.085,.061,538,,,"$842,539",2014
131,John Huh,87,71.240,283.9,66.87,64.39,-.159,-.010,-.169,698,2,,"$974,043",2014
132,Sean O'Hair,77,71.240,300.5,53.73,63.42,.082,-.327,-.244,278,1,,"$408,793",2014
133,Greg Chalmers,85,71.251,280.7,58.51,59.88,.856,-.989,-.133,402,1,,"$578,979",2014
134,Charlie Beljan,76,71.280,303.8,59.02,65.20,-.231,-.058,-.289,409,1,,"$712,652",2014
135,Gonzalo Fernandez-CastaÃ±o,83,71.294,288.1,59.93,60.84,-.120,-.092,-.211,863,1,,"$926,493",2014
136,Josh Teater,90,71.301,294.6,61.22,65.09,-.218,.076,-.143,334,,,"$366,241",2014
137,Boo Weekley,73,71.307,288.3,69.57,68.06,-1.152,.875,-.277,536,1,,"$832,673",2014
138,Chad Collins,78,71.315,275.4,59.67,59.98,.438,-.884,-.446,295,1,,"$408,434",2014
139,Jamie Lovemark,64,71.345,302.4,53.94,64.91,-.585,.235,-.351,212,,,"$305,944",2014
140,Ben Curtis,77,71.354,279.5,64.80,62.63,.400,-.616,-.216,406,1,,"$625,515",2014
141,Kevin Streelman,79,71.354,288.6,68.04,63.25,.006,.068,.074,"1,354",2,1,"$2,107,994",2014
142,Davis Love III,74,71.364,296.3,59.04,64.51,-.361,-.056,-.418,253,,,"$284,800",2014
143,Russell Henley,92,71.379,293.7,63.67,61.84,.332,-.438,-.106,635,3,1,"$2,590,493",2014
144,Rory Sabbatini,82,71.381,294.2,55.48,65.38,-.326,-.245,-.571,567,3,,"$1,024,736",2014
145,Geoff Ogilvy,84,71.422,292.5,58.51,64.51,-.331,-.032,-.363,470,2,1,"$1,809,632",2014
146,Martin Laird,66,71.436,297.2,61.26,66.31,-.154,.038,-.116,425,1,,"$583,663",2014
147,Johnson Wagner,69,71.444,287.1,56.95,64.10,.050,-.616,-.565,323,1,,"$393,729",2014
148,James Driscoll,71,71.454,284.2,52.68,60.88,.123,-.958,-.835,311,,,"$371,404",2014
149,David Lingmerth,80,71.469,289.8,59.83,63.30,-.087,-.220,-.307,391,2,,"$676,661",2014
150,John Peterson,62,71.470,288.1,64.00,65.56,-.819,.340,-.480,170,,,"$238,230",2014
151,Trevor Immelman,84,71.471,291.8,58.50,65.28,-.474,.157,-.317,354,1,,"$447,516",2014
152,Brian Gay,81,71.493,271.6,61.99,59.21,.268,-.733,-.465,375,1,,"$605,368",2014
153,Tommy Gainey,73,71.510,294.0,57.92,64.01,.019,-.540,-.521,311,1,,"$490,590",2014
154,Richard Lee,80,71.528,285.1,61.86,59.97,.446,-.878,-.432,376,2,,"$618,443",2014
155,Jonas Blixt,64,71.581,286.1,56.16,61.11,.303,-.512,-.209,599,1,,"$1,342,198",2014
156,Jeff Maggert,54,71.612,276.6,68.83,65.74,-.652,-.096,-.748,195,1,,"$360,157",2014
157,Roberto Castro,76,71.617,283.9,62.95,60.44,-.384,.084,-.300,387,1,,"$615,933",2014
158,Jim Herman,62,71.619,294.7,62.18,66.38,-.362,-.488,-.850,142,,,"$187,337",2014
159,Nicholas Thompson,85,71.657,287.0,67.08,66.67,-.622,.105,-.517,437,1,,"$713,377",2014
160,Briny Baird,50,71.679,281.6,63.70,63.44,-.156,-.419,-.575,366,1,,"$616,316",2014
161,Y.E. Yang,79,71.712,281.9,65.41,61.68,-.073,-.463,-.536,234,,,"$254,525",2014
162,Mark Wilson,69,71.732,279.6,67.00,63.25,-.539,-.265,-.804,142,,,"$155,313",2014
163,Woody Austin,63,71.743,278.5,61.45,60.83,-.137,-.696,-.833,225,,,"$292,824",2014
164,Kyle Stanley,87,71.745,297.5,61.26,66.87,-1.385,.552,-.834,297,1,,"$473,581",2014
165,Bronson La'Cassie,51,71.772,284.9,59.76,61.35,-.088,-.431,-.519,128,,,"$160,632",2014
166,Mike Weir,69,71.789,271.2,52.76,57.44,.256,-.882,-.626,375,1,,"$854,413",2014
167,Scott Stallings,77,71.835,300.4,56.04,63.16,-.305,-.369,-.673,831,1,1,"$1,385,689",2014
168,Jim Renner,61,71.843,288.2,56.50,62.71,-.792,-.221,-1.013,346,1,,"$763,978",2014
169,John Merrick,87,71.852,285.3,68.62,68.07,-.568,.051,-.517,399,,,"$516,148",2014
170,Kevin Tway,64,71.912,294.5,58.95,64.35,-.157,-.677,-.834,172,,,"$167,278",2014
171,D.H. Lee,54,71.914,276.2,66.47,59.89,.024,-.820,-.796,94,,,"$138,642",2014
172,John Rollins,84,71.932,290.1,59.80,64.86,-.252,-.395,-.647,244,,,"$289,757",2014
173,Lucas Glover,68,72.233,300.6,64.02,67.00,-1.475,.539,-.936,129,,,"$210,166",2014
174,Troy Matteson,62,72.237,296.7,53.09,61.97,-.422,-.914,-1.337,238,1,,"$387,796",2014
175,D.A. Points,75,72.239,284.5,62.56,62.71,-.344,-.753,-1.097,206,,,"$364,653",2014
176,Derek Ernst,80,72.593,297.0,64.41,63.52,-.558,-.798,-1.356,218,,,"$305,654",2014
0,Jordan Spieth,91,68.938,291.8,62.91,67.87,.571,1.583,2.154,"3,800",15,5,"$12,030,465",2015
1,Jason Day,75,69.161,313.7,55.94,70.83,.586,1.520,2.106,"2,290",11,5,"$9,403,330",2015
2,Bubba Watson,71,69.296,315.2,56.55,69.32,.212,1.876,2.088,"1,680",10,2,"$6,876,797",2015
3,Henrik Stenson,63,69.354,296.4,69.91,73.52,.436,1.774,2.210,"2,307",8,,"$4,755,070",2015
4,Dustin Johnson,75,69.585,317.7,55.53,67.05,.128,1.326,1.455,"1,360",11,1,"$5,509,467",2015
5,Justin Rose,69,69.744,303.5,63.87,70.54,.023,1.471,1.493,"1,235",8,1,"$5,462,677",2015
6,Zach Johnson,90,69.753,282.6,71.21,68.58,.040,1.081,1.120,"1,450",10,1,"$4,801,487",2015
7,Willy Wilcox,58,69.804,296.6,68.98,72.53,.322,.863,1.186,649,4,,"$1,168,302",2015
8,Paul Casey,87,69.806,297.8,64.16,72.36,.014,1.202,1.216,632,8,,"$3,488,311",2015
9,Jim Furyk,71,69.845,281.9,69.08,69.79,-.024,1.658,1.634,304,7,1,"$3,732,664",2015
10,Brooks Koepka,84,69.861,308.2,57.33,69.48,.421,.660,1.081,414,8,1,"$3,571,900",2015
11,Hideki Matsuyama,95,69.940,294.5,65.25,69.20,.076,1.388,1.464,558,9,,"$3,758,619",2015
12,Sergio Garcia,59,69.958,300.0,59.47,67.56,-.022,1.067,1.045,"1,177",4,,"$2,670,229",2015
13,Matt Kuchar,97,70.040,288.5,63.23,66.55,.316,.817,1.133,530,7,,"$2,774,170",2015
14,Ryan Palmer,80,70.102,305.2,56.57,66.81,.147,.813,.960,"1,386",5,,"$1,974,523",2015
15,Justin Thomas,106,70.105,303.2,58.24,68.92,.042,.926,.968,"1,498",7,,"$2,278,564",2015
16,Kevin Na,98,70.121,280.1,62.51,64.56,.233,.711,.944,410,7,,"$2,820,766",2015
17,Robert Streb,110,70.130,297.1,59.47,69.14,.381,.712,1.093,542,9,1,"$3,947,424",2015
18,Brandt Snedeker,98,70.158,288.4,60.98,64.97,.588,.020,.607,416,8,1,"$3,698,056",2015
19,Louis Oosthuizen,68,70.160,298.8,59.84,68.28,-.220,.825,.605,176,6,,"$3,251,174",2015
20,Rickie Fowler,76,70.230,296.8,62.08,65.81,.309,.779,1.088,"1,838",7,2,"$5,773,430",2015
21,Jason Bohn,95,70.235,277.1,71.58,68.89,.239,.538,.777,"1,373",6,,"$2,337,580",2015
22,Harris English,105,70.235,298.4,58.51,67.05,.560,.217,.777,360,3,,"$1,971,687",2015
23,Jimmy Walker,89,70.268,301.6,52.23,66.09,.692,.241,.933,558,6,2,"$4,521,350",2015
24,Tony Finau,106,70.281,309.0,54.30,67.61,-.006,.634,.628,"1,293",5,,"$2,095,186",2015
25,Patrick Reed,103,70.292,292.9,54.78,64.42,.394,.465,.859,656,4,1,"$3,590,566",2015
26,Webb Simpson,81,70.310,289.4,67.85,67.81,-.646,1.346,.700,"1,213",5,,"$2,046,260",2015
27,Kevin Kisner,104,70.344,287.8,66.85,66.24,.240,.389,.628,444,6,,"$3,567,939",2015
28,Jerry Kelly,79,70.383,277.2,70.45,65.96,.250,.186,.436,966,4,,"$1,336,607",2015
29,Daniel Summerhays,101,70.397,284.0,61.79,65.62,.644,-.103,.541,"1,501",5,,"$1,633,957",2015
30,Danny Lee,120,70.398,283.1,63.92,65.69,.374,.354,.729,"1,123",8,1,"$3,965,933",2015
31,Brendan Steele,88,70.413,302.9,61.13,68.52,-.047,1.005,.958,"1,204",4,,"$1,759,484",2015
32,Russell Knox,96,70.421,284.4,67.76,70.83,-.021,.827,.806,"1,435",3,,"$1,916,666",2015
33,Ian Poulter,68,70.421,286.7,63.58,65.71,.225,.329,.554,981,4,,"$1,690,587",2015
34,Shawn Stefani,94,70.421,296.3,62.06,68.79,.074,.423,.497,"1,171",3,,"$1,757,803",2015
35,Rory Sabbatini,81,70.435,290.0,60.30,67.83,-.106,.567,.461,"1,064",4,,"$1,525,784",2015
36,Keegan Bradley,87,70.450,306.1,64.85,67.53,-.070,1.088,1.018,"1,103",3,,"$1,565,079",2015
37,Adam Scott,51,70.456,311.6,60.69,69.62,-.396,.601,.206,585,3,,"$1,382,365",2015
38,Francesco Molinari,56,70.458,281.6,76.88,71.07,-.255,.859,.604,558,2,,"$997,389",2015
39,George McNeill,93,70.478,286.2,64.10,66.43,.212,.351,.563,"1,086",1,,"$1,331,768",2015
40,Lee Westwood,56,70.484,300.0,59.70,66.45,.595,.283,.879,576,1,,"$946,628",2015
41,Brendon Todd,96,70.533,276.4,70.24,65.47,.582,.248,.830,"1,279",4,,"$1,809,192",2015
42,Luke Donald,71,70.555,277.0,59.28,65.57,.289,.295,.584,782,2,,"$1,026,643",2015
43,Marc Leishman,74,70.569,294.8,54.99,65.62,-.020,.322,.302,854,4,,"$1,762,267",2015
44,Daniel Berger,97,70.581,302.1,60.74,68.84,-.193,.682,.489,878,6,,"$3,028,901",2015
45,Russell Henley,87,70.581,297.1,64.39,67.06,.579,-.116,.462,"1,072",4,,"$2,110,774",2015
46,J.B. Holmes,89,70.581,309.9,54.05,63.66,-.004,.949,.944,618,7,1,"$4,037,430",2015
47,Phil Mickelson,70,70.585,300.5,55.98,61.51,.262,.319,.581,"1,091",3,,"$2,154,200",2015
48,Chad Campbell,97,70.604,285.2,65.75,68.61,-.045,.482,.437,670,2,,"$1,015,707",2015
49,Charley Hoffman,97,70.613,298.9,58.01,66.19,.065,.269,.335,992,7,1,"$4,041,089",2015
50,Patrick Rodgers,57,70.619,307.7,56.97,66.77,-.003,.133,.129,,2,,,2015
51,Jason Dufner,76,70.633,286.7,67.81,69.03,-.700,.922,.222,730,2,,"$1,007,997",2015
52,Brendon de Jonge,106,70.642,285.3,65.69,67.51,-.007,.320,.312,"1,228",3,,"$1,594,935",2015
53,Brian Harman,90,70.647,287.9,64.37,66.67,.236,.177,.413,"1,135",3,,"$1,548,352",2015
54,William McGirt,103,70.647,280.4,67.87,67.85,.060,.395,.455,955,1,,"$1,004,696",2015
55,Jason Kokrak,88,70.654,305.6,56.41,67.30,-.012,.306,.293,614,2,,"$1,033,489",2015
56,Pat Perez,96,70.666,284.6,65.70,67.88,.364,.222,.586,"1,287",2,,"$1,588,664",2015
57,Kevin Chappell,86,70.672,293.5,63.86,66.02,.168,.202,.370,"1,186",2,,"$1,281,552",2015
58,Bill Haas,89,70.672,290.7,63.35,68.80,-.229,.689,.460,380,5,1,"$3,064,024",2015
59,Nick Watney,91,70.680,294.0,61.08,67.34,-.403,.661,.258,"1,135",3,,"$1,733,873",2015
60,Chad Collins,79,70.681,278.4,63.82,66.10,.012,.201,.214,504,1,,"$747,899",2015
61,Scott Piercy,90,70.688,296.7,59.30,66.73,.006,.322,.329,432,5,1,"$2,780,027",2015
62,Colt Knost,90,70.698,276.6,71.24,67.44,.348,-.152,.196,714,4,,"$1,066,553",2015
63,Zac Blair,108,70.714,273.1,67.91,65.54,.527,-.356,.171,"1,126",2,,"$1,244,676",2015
64,Jim Herman,88,70.719,293.8,67.10,73.23,-.030,.407,.376,840,2,,"$1,212,778",2015
65,Graham DeLaet,65,70.720,298.7,65.46,69.15,-.012,.299,.287,545,3,,"$988,349",2015
66,Hudson Swafford,97,70.732,298.9,63.34,68.54,.360,-.022,.338,776,1,,"$959,391",2015
67,John Peterson,84,70.735,288.1,67.52,68.32,-.184,.435,.251,588,,,"$779,509",2015
68,Vijay Singh,78,70.761,290.6,60.06,66.24,-.511,.812,.302,508,1,,"$752,462",2015
69,Martin Laird,77,70.772,300.5,58.54,66.31,.100,.206,.306,628,3,,"$1,124,988",2015
70,Stewart Cink,77,70.774,293.6,57.35,72.94,.102,.367,.468,612,1,,"$694,655",2015
71,Boo Weekley,79,70.775,292.0,63.27,67.72,-.246,.671,.425,830,6,,"$1,689,914",2015
72,Bryce Molder,91,70.779,277.9,66.80,65.45,.508,-.319,.189,875,2,,"$1,165,547",2015
73,Scott Brown,97,70.797,288.2,62.77,65.18,-.031,.216,.185,696,3,,"$1,161,750",2015
74,David Lingmerth,90,70.800,289.5,65.51,64.94,.039,.366,.405,"1,387",4,1,"$2,736,378",2015
75,Johnson Wagner,68,70.807,290.7,62.11,68.95,.203,-.108,.095,733,3,,"$1,131,659",2015
76,Tom Hoge,83,70.812,292.2,58.84,66.03,.005,.410,.415,441,2,,"$690,319",2015
77,Matt Jones,89,70.812,296.0,59.70,64.05,.401,.263,.664,"1,445",4,,"$1,995,553",2015
78,Ryan Moore,81,70.829,282.6,70.05,65.24,.160,.418,.578,"1,374",4,1,"$2,642,306",2015
79,Jonathan Byrd,69,70.830,287.5,65.60,67.35,.084,.148,.232,335,,,"$446,732",2015
80,Steven Bowditch,103,70.835,302.1,54.04,63.43,.144,.256,.400,454,2,1,"$3,075,410",2015
81,Jeff Overton,94,70.836,284.8,58.87,65.70,.105,-.014,.091,464,1,,"$561,614",2015
82,Spencer Levin,99,70.837,283.7,69.09,68.27,-.065,.135,.070,764,1,,"$836,698",2015
83,David Hearn,97,70.843,280.6,64.16,67.98,.358,-.002,.356,"1,152",4,,"$1,817,043",2015
84,Jon Curran,83,70.849,273.5,67.46,66.39,-.028,-.059,-.088,540,5,,"$1,049,549",2015
85,Kyle Reifers,96,70.854,288.0,61.59,67.03,.036,.101,.136,804,2,,"$1,179,228",2015
86,Carl Pettersson,106,70.866,291.6,59.05,63.00,.335,-.099,.236,809,3,,"$1,186,763",2015
87,Charles Howell III,105,70.872,302.7,52.43,68.57,-.216,.599,.383,792,3,,"$1,257,361",2015
88,James Hahn,94,70.896,295.1,59.89,66.13,.048,.307,.355,"1,202",2,1,"$2,064,783",2015
89,Martin Flores,95,70.919,296.8,56.83,68.32,-.216,.255,.038,345,,,"$449,274",2015
