,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
130,Alex Cejka,59,71.178,280.3,66.42,56.94,66.1,-0.145,0.259,0.413,-0.665,-0.138,303,0,0,344902,2011
131,Troy Matteson,91,71.184,300.2,58.83,55.58,65.64,0.295,-0.08900000000000001,-0.218,-0.15,-0.162,547,2,0,946989,2011
132,Dean Wilson,62,71.195,276.8,65.27,61.63,62.63,-0.863,0.073,0.079,0.49200000000000005,-0.22,318,0,0,401314,2011
133,Joe Ogilvie,75,71.215,291.6,56.62,56.98,62.6,-0.271,-0.23600000000000002,0.034,0.16699999999999998,-0.306,379,1,0,726866,2011
134,Steven Bowditch,86,71.221,308.3,55.12,52.33,63.62,0.33899999999999997,-0.615,-0.153,0.161,-0.267,347,1,0,621378,2011
135,Kevin Chappell,78,71.221,295.8,59.0,58.46,64.89,0.14,0.08199999999999999,-0.036000000000000004,-0.501,-0.314,673,3,0,1339640,2011
136,Alexandre Rocha,65,71.262,290.9,62.23,55.21,68.23,-0.184,0.005,-0.195,-0.001,-0.375,127,0,0,225026,2011
137,James Driscoll,71,71.277,298.5,55.79,56.91,63.5,-0.243,-0.226,0.285,-0.025,-0.209,353,2,0,741010,2011
138,Kevin Stadler,88,71.295,293.2,63.25,52.39,68.06,0.109,0.4,-0.301,-0.426,-0.218,444,1,0,768172,2011
139,Nathan Green,81,71.298,285.0,59.44,60.92,62.34,-0.36700000000000005,-0.225,0.091,0.10800000000000001,-0.39399999999999996,209,0,0,312109,2011
140,Tag Ridings,87,71.325,303.3,56.99,55.37,63.58,0.114,-0.165,-0.251,0.066,-0.237,286,0,0,382670,2011
141,Michael Connell,76,71.32600000000001,279.5,65.79,60.81,63.82,-0.39299999999999996,0.042,0.023,-0.09699999999999999,-0.425,233,0,0,309362,2011
142,Tim Petrovic,88,71.32600000000001,280.5,64.73,60.49,62.17,-0.316,-0.247,0.267,0.177,-0.11900000000000001,326,0,0,428011,2011
143,Jason Bohn,74,71.336,284.9,67.48,58.25,67.3,-0.10300000000000001,0.16699999999999998,-0.139,-0.069,-0.14400000000000002,284,0,0,411943,2011
144,Jim Renner,65,71.372,296.8,59.1,58.22,65.01,0.162,-0.188,-0.23399999999999999,0.149,-0.111,149,2,0,392945,2011
145,Jim Herman,69,71.377,301.7,56.98,56.53,67.94,0.244,0.011000000000000001,-0.09,-0.344,-0.18,160,0,0,196845,2011
146,Ben Martin,74,71.419,289.5,63.43,52.93,64.76,0.073,-0.301,-0.45299999999999996,0.406,-0.275,242,1,0,340080,2011
147,Joe Durant,71,71.428,283.6,75.65,59.1,71.26,0.382,0.494,-0.24600000000000002,-0.861,-0.233,260,0,0,358790,2011
148,Arjun Atwal,91,71.444,284.8,56.31,55.65,63.25,-0.705,0.24100000000000002,0.011000000000000001,0.044000000000000004,-0.409,459,1,0,690237,2011
149,Garrett Willis,71,71.458,279.7,67.85,58.14,64.41,-0.066,-0.037000000000000005,-0.14400000000000002,-0.031,-0.278,270,1,0,526390,2011
150,Roland Thatcher,67,71.47800000000001,293.1,61.16,58.0,64.26,-0.006999999999999999,-0.259,-0.419,0.19399999999999998,-0.491,302,2,0,666371,2011
